RowID	Speaker	SpeakerInfo	Question	Topic	Text
587	DIAZ-BALART	Moderator	8.0	Candidates on how they would address undocumented immigrants	BALART: Let me get to you in–in–in just a second.
830	TODD	Moderator	19.0	Candidates on what their first issue would be if elected	We’re going to sneak in a break in a minute, but before we go, I’m going to go down the line here and I’m asking you please, for one or two words. All right? Please.
325	TODD	Moderator	21.0	Biggest Geopolitical Threat	I got you. Totally get it. Go ahead. Governor Inslee?
111	CASTRO	Candidate	12.0	Undocumented Immigrants	… if I might — if I might, very briefly, and this is an important point. You know, my plan — and I’m glad to see that Senator Booker, Senator Warren, and Governor Inslee agree with me on this. My plan also includes getting rid of Section 1325 of the Immigration and Nationality Act, to go back to the way we used to treat this when somebody comes across the border, not to criminalize desperation, to treat that as a civil violation. And here’s why it’s important. We see all of this horrendous family separation. They use that law, Section 1325, to justify under the law separating little children from their families.
313	RYAN	Candidate	20.0	Foreign Policy	Well, I — I understand…
838	TODD	Moderator	19.0	Candidates on what their first issue would be if elected	All right.
279	DELANEY	Candidate	18.0	Climate Change	This has got to be our way forward if we’re actually serious about this issue.
283	TODD	Moderator	19.0	LGBTQ	Thank you, Congresswoman Gabbard.
514	BUTTIGIEG	Candidate	7.0	Candidates weigh in on healthcare	And I want every family to have that same freedom to do what is medically right, not (INAUDIBLE).
289	MADDOW	Moderator	19.0	LGBTQ	That’s time, Senator.
68	De Blasio	Candidate	8.0	Healthcare	BLASIO: Congressman…
897	SWALWELL	Candidate	20.0	Candidates on gun control	–Will you buy them back?
164	HOLT	Moderator	12.0	Undocumented Immigrants	We’re going to switch to another topic now. We’ve got a lot to get to. Let’s…
334	O’ROURKE	Candidate	21.0	Biggest Geopolitical Threat	Our existential threat is climate change. We have to confront it before it’s too late.
315	RYAN	Candidate	20.0	Foreign Policy	I understand that. The Taliban…
216	TODD	Moderator	15.0	Guns	Congressman O’Rourke, you’re a Texan who’s campaigned — you campaigned all over the state in 2018 in the most conservative parts there. What do you tell a gun owner who may agree with you on everything else, OK, but says, you know what, the Democrats, if I vote for them in there, they’re going to take my gun away, and even though I agree with you on all these other issues — how do you have that conversation?
224	TODD	Moderator	15.0	Guns	We’ve got to…
327	TODD	Moderator	21.0	Biggest Geopolitical Threat	Congresswoman Gabbard?
